column_name,signal_class,modeling_group,keep_for_modeling,guessed_type,role_group,confidence,reason,decision_reason
Val_1,raw_physical,core,yes,screw_speed_actual_candidate,key_process,high,"0-138 range, immediate ON/OFF response, strongest primary production signal",Core raw physical sensor selected for first-pass modeling
Val_5,raw_physical,core,yes,motor_load_or_current_candidate,key_process,high,"0-91.7 range, immediate ON/OFF response, strongest short-term coupling with Val_1 among load candidates",Core raw physical sensor selected for first-pass modeling
Val_6,raw_physical,core,yes,melt_pressure_candidate,key_process,high,"2-402 range, collapses to low floor on stop, tracks production/load strongly",Core raw physical sensor selected for first-pass modeling
Val_7,raw_physical,core,yes,temperature_zone_candidate,temperature,high,"24-187 range, smooth heating/cooling, strong thermal inertia",Core raw physical sensor selected for first-pass modeling
Val_8,raw_physical,core,yes,temperature_zone_candidate,temperature,high,"25-186 range, smooth heating/cooling, strong thermal inertia",Core raw physical sensor selected for first-pass modeling
Val_9,raw_physical,core,yes,temperature_zone_candidate,temperature,high,"25-183 range, smooth heating/cooling, strong thermal inertia",Core raw physical sensor selected for first-pass modeling
Val_10,raw_physical,core,yes,temperature_zone_candidate,temperature,high,"22.5-180 range, smooth heating/cooling, strong thermal inertia",Core raw physical sensor selected for first-pass modeling
Val_11,raw_physical,core,yes,temperature_zone_candidate,temperature,high,"22.5-180 range, smooth heating/cooling, strong thermal inertia",Core raw physical sensor selected for first-pass modeling
Val_27,raw_physical,core,yes,temperature_zone_candidate,temperature,high,"24-175 range, smooth heating/cooling, strong thermal inertia",Core raw physical sensor selected for first-pass modeling
Val_28,raw_physical,core,yes,temperature_zone_candidate,temperature,high,"24-181 range, smooth heating/cooling, strong thermal inertia",Core raw physical sensor selected for first-pass modeling
Val_29,raw_physical,core,yes,temperature_zone_candidate,temperature,high,"24-183 range, smooth heating/cooling, strong thermal inertia",Core raw physical sensor selected for first-pass modeling
Val_30,raw_physical,core,yes,temperature_zone_candidate,temperature,high,"21-185 range, smooth heating/cooling, strong thermal inertia",Core raw physical sensor selected for first-pass modeling
Val_31,raw_physical,core,yes,temperature_zone_candidate,temperature,high,"21-185 range, smooth heating/cooling, strong thermal inertia",Core raw physical sensor selected for first-pass modeling
