column_name,status,guessed_type,confidence,reason,role_group,negative_value_policy,min,max,mean,std,pct_zero,pct_negative,n_unique
Val_1,ACTIVE,screw_speed_actual_candidate,high,"0-138 range, immediate ON/OFF response, strongest primary production signal",key_process,replace_lt_0_with_NaN,0.0,138.300003,67.67583770794211,49.71831438347665,21.083673601659214,0.0,598
Val_2,ACTIVE,slow_aux_temperature_or_environment,low,"18-53 range, very smooth, low-variance auxiliary slow process channel",auxiliary_slow,replace_lt_0_with_NaN,18.0,53.0,36.258312269103634,7.500600040602244,0.0,0.0,36
Val_3,ACTIVE,slow_process_setting_or_aux_measure,low,"24-86 range, slow behavior, correlates with Val_33/Val_34 but not a key fast process variable",auxiliary_slow,replace_lt_0_with_NaN,24.0,86.0,59.052401322185496,22.135962848977712,0.0,0.0,63
Val_4,ACTIVE,drive_frequency_or_aux_speed,medium,"0-15 range, immediate ON/OFF response, tightly coupled to Val_1 but lower dynamic range",key_process,replace_lt_0_with_NaN,0.0,15.0100002,6.835828611263484,4.9290008820654565,0.204160995527902,0.0,112
Val_5,ACTIVE,motor_load_or_current_candidate,high,"0-91.7 range, immediate ON/OFF response, strongest short-term coupling with Val_1 among load candidates",key_process,replace_lt_0_with_NaN,0.0,91.6999969,44.2334823908964,32.50866700695779,34.30552855013287,0.0,440
Val_6,ACTIVE,melt_pressure_candidate,high,"2-402 range, collapses to low floor on stop, tracks production/load strongly",key_process,replace_lt_0_with_NaN,2.0,402.0,249.2768974488781,180.3489821957853,0.0,0.0,826
Val_7,ACTIVE,temperature_zone_candidate,high,"24-187 range, smooth heating/cooling, strong thermal inertia",temperature,replace_lt_0_with_NaN,24.2000008,187.5,131.30053475916782,63.96833205770798,0.0,0.0,1363
Val_8,ACTIVE,temperature_zone_candidate,high,"25-186 range, smooth heating/cooling, strong thermal inertia",temperature,replace_lt_0_with_NaN,24.6000004,185.699997,131.9348467312593,63.347999860753205,0.0,0.0,1417
Val_9,ACTIVE,temperature_zone_candidate,high,"25-183 range, smooth heating/cooling, strong thermal inertia",temperature,replace_lt_0_with_NaN,24.7999992,183.300003,131.09178159444554,63.64657344739357,0.0,0.0,1310
Val_10,ACTIVE,temperature_zone_candidate,high,"22.5-180 range, smooth heating/cooling, strong thermal inertia",temperature,replace_lt_0_with_NaN,22.5,179.600006,128.30549616552273,63.840010597144285,0.0,0.0,1263
Val_11,ACTIVE,temperature_zone_candidate,high,"22.5-180 range, smooth heating/cooling, strong thermal inertia",temperature,replace_lt_0_with_NaN,22.5,179.699997,126.8549743869661,62.26164170965501,0.0,0.0,1309
Val_12,INACTIVE,unused_channel,high,"100% zero, no variation",inactive,not_applicable,0.0,0.0,0.0,0.0,100.0,0.0,1
Val_14,INACTIVE,unused_channel,high,"100% zero, no variation",inactive,not_applicable,0.0,0.0,0.0,0.0,100.0,0.0,1
Val_15,INACTIVE,unused_channel,high,"100% zero, no variation",inactive,not_applicable,0.0,0.0,0.0,0.0,100.0,0.0,1
Val_19,ACTIVE,recipe_or_setpoint_level,high,"0-37.5 range, immediate ON/OFF response, only 39 unique values, strongly stepwise",control_or_setpoint,replace_lt_0_with_NaN,0.0,37.5,23.82898139608011,17.525197655991096,34.79810745997796,0.0,39
Val_20,ACTIVE,aux_load_or_control_signal,medium,"0-22.1 range, immediate ON/OFF response, moderately dynamic but less likely primary measured variable",control_or_setpoint,replace_lt_0_with_NaN,0.0,22.1000004,11.697060739702831,8.574537050117998,34.79810745997796,0.0,74
Val_21,INACTIVE,constant_marker_or_limit,high,constant 100 for all rows,inactive,not_applicable,100.0,100.0,100.0,0.0,0.0,0.0,1
Val_22,INACTIVE,unused_channel,high,"100% zero, no variation",inactive,not_applicable,0.0,0.0,0.0,0.0,100.0,0.0,1
Val_23,INACTIVE,unused_channel,high,"100% zero, no variation",inactive,not_applicable,0.0,0.0,0.0,0.0,100.0,0.0,1
Val_27,ACTIVE,temperature_zone_candidate,high,"24-175 range, smooth heating/cooling, strong thermal inertia",temperature,replace_lt_0_with_NaN,24.0,175.300003,127.62235403568606,61.72784948885294,0.0,0.0,1288
Val_28,ACTIVE,temperature_zone_candidate,high,"24-181 range, smooth heating/cooling, strong thermal inertia",temperature,replace_lt_0_with_NaN,24.2000008,180.699997,131.93875190792016,63.19230261198865,0.0,0.0,1345
Val_29,ACTIVE,temperature_zone_candidate,high,"24-183 range, smooth heating/cooling, strong thermal inertia",temperature,replace_lt_0_with_NaN,23.7999992,182.600006,133.48881324602698,62.12002836993437,0.0,0.0,1499
Val_30,ACTIVE,temperature_zone_candidate,high,"21-185 range, smooth heating/cooling, strong thermal inertia",temperature,replace_lt_0_with_NaN,20.7000008,184.600006,131.1762919794154,66.20778522290031,0.0,0.0,1442
Val_31,ACTIVE,temperature_zone_candidate,high,"21-185 range, smooth heating/cooling, strong thermal inertia",temperature,replace_lt_0_with_NaN,21.0,185.0,131.58061767573724,66.30363386492436,0.0,0.0,1408
Val_32,ACTIVE,temperature_zone_candidate,high,"24.5-182 range, smooth heating/cooling, strong thermal inertia",temperature,replace_lt_0_with_NaN,24.5,182.199997,133.62001129452008,61.9582868789991,0.0,0.0,1459
Val_33,ACTIVE,slow_derived_process_metric,medium,"0.6-7.5 range, smooth rise and gradual decay, likely derived thermal/process metric",derived_slow,replace_lt_0_with_NaN,0.600000024,7.5,4.046127417410331,2.35003640100704,0.0,0.0,69
Val_34,ACTIVE,slow_derived_process_metric_scaled,medium,"6-68 range, same shape as Val_33 at about 10x scale, likely related derived metric",derived_slow,replace_lt_0_with_NaN,6.0,68.0,37.2389331777821,21.236153483786257,0.0,0.0,62
Val_35,INACTIVE,constant_setpoint_or_limit,high,constant 200 for all rows,inactive,not_applicable,200.0,200.0,200.0,0.0,0.0,0.0,1
Val_36,INACTIVE,constant_setpoint_or_limit,high,constant 200 for all rows,inactive,not_applicable,200.0,200.0,200.0,0.0,0.0,0.0,1
Val_37,INACTIVE,unused_channel,high,"100% zero, no variation",inactive,not_applicable,0.0,0.0,0.0,0.0,100.0,0.0,1
Val_38,ACTIVE,bounded_deviation_or_score,medium,"-100 to 100 bounded, production-active, negatives likely semantic not raw physical",bounded_score,replace_sentinel_-1_and_-100_with_NaN_keep_other_in_range_negatives,-98.4000015,100.0,11.512361485633736,15.076282374948061,34.91372306892406,2.953888148701784,766
Val_39,ACTIVE,bounded_percentage_signal,medium,"0-100 bounded, zero in OFF periods, percentage-like behavior",bounded_percentage,replace_lt_0_or_gt_100_with_NaN,0.0,100.0,10.23228336526703,9.782152816020519,32.65603733229632,0.0,314
Val_40,ACTIVE,bounded_percentage_signal,medium,"0-100 bounded, zero in OFF periods, percentage-like behavior",bounded_percentage,replace_lt_0_or_gt_100_with_NaN,0.0,100.0,4.847614882058429,8.407948452233207,33.689804912826496,0.0,217
Val_41,INACTIVE,rare_event_flag_or_unused,high,"97.9% zero, effectively inactive for modeling",inactive,not_applicable,0.0,100.0,1.218270788792404,10.374060770933404,97.92922418821699,0.0,226
Val_42,ACTIVE,bounded_percentage_signal,medium,"0-100 bounded, zero in OFF periods, percentage-like behavior",bounded_percentage,replace_lt_0_or_gt_100_with_NaN,0.0,100.0,7.578776981809903,10.578018168915182,33.388424395618635,0.0,227
Val_43,ACTIVE,bounded_percentage_signal,medium,"0-100 bounded, mostly low values with production-only activation",bounded_percentage,replace_lt_0_or_gt_100_with_NaN,0.0,100.0,1.328226067714337,7.583353826643757,57.69330481560697,0.0,180
Val_44,ACTIVE,bounded_score_or_percentage,medium,"0-100 bounded, correlated with production level but short-term behavior suggests derived score/percent",bounded_score,replace_lt_0_with_NaN,0.0,100.0,20.50046340124836,15.493760670666003,32.954177198781515,0.0,477
Val_45,ACTIVE,bounded_score_or_percentage,medium,"0-100 bounded, production-only, not a core physical sensor",bounded_score,replace_lt_0_with_NaN,0.0,100.0,9.81762265802181,9.889409900906648,34.80134811070063,0.0,352
Val_46,ACTIVE,bounded_deviation_or_score,medium,"-100 to 100 bounded, negatives likely semantic not raw physical",bounded_score,replace_sentinel_-1_and_-100_with_NaN_keep_other_in_range_negatives,-96.3000031,100.0,11.985275219284013,12.052688511654575,32.295858756328705,0.1687654160716604,425
Val_47,ACTIVE,bounded_deviation_or_score,medium,"-100 to 100 bounded, negatives likely semantic not raw physical",bounded_score,replace_sentinel_-1_and_-100_with_NaN_keep_other_in_range_negatives,-88.8000031,100.0,0.5536806609770779,10.061559336969012,33.44685310105442,45.343506450979106,559
Val_48,ACTIVE,bounded_deviation_or_score,medium,"-100 to 100 bounded, negatives likely semantic not raw physical",bounded_score,replace_sentinel_-1_and_-100_with_NaN_keep_other_in_range_negatives,-93.5,100.0,-3.7116359116604603,14.461784099222845,32.286631848704054,65.10202095565576,449
